pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,isInsideOut,isInsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement
30-15,2-0,0-0,1.0,569622,,,15,,1,Ad,Motka Komac,Far,1.0,Wide,-150.0,-184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,1st Serve In,Wide
30-15,2-0,0-0,,572961,,,15,,2,Ad,Motka Komac,Far,,,,,,,,,,-189.0,-472.0,Down the Line,Backhand,1.0,,,,,,,,,-51.0,179.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
30-15,2-0,0-0,,574388,,,15,,3,Ad,Motka Komac,Far,,,,,,,,,,32.0,384.0,Down the Line,Forehand,,,,1.0,,,,,,90.0,-277.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,,
30-15,2-0,0-0,,575952,,,15,,4,Deuce,Motka Komac,Far,,,,,,,,,,133.0,-517.0,Crosscourt,Forehand,,,,,,,,,,-32.0,40.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
30-15,2-0,0-0,,576541,1.0,577291.0,15,,5,Deuce,Motka Komac,Far,,,,,,,,,,-24.0,37.0,Down the Line,Forehand,,1.0,,,,,,,,-75.0,-258.0,1.0,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,Motka Komac,0,,
30-30,2-0,0-0,1.0,577291,,,16,,1,Deuce,Motka Komac,Far,1.0,Body,64.0,-133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,1st Serve In,Body
30-30,2-0,0-0,,614198,,,16,,2,Deuce,Motka Komac,Far,,,,,,,,,,141.0,-464.0,Crosscourt,Forehand,,,,,,,,,,-32.0,360.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
30-30,2-0,0-0,,615850,,,16,,3,Deuce,Motka Komac,Far,,,,,,,,,,-30.0,493.0,Down the Line,Forehand,,,,,,,,,,-54.0,-272.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,,
30-30,2-0,0-0,,616907,,,16,,4,Ad,Motka Komac,Far,,,,,,,,,,-27.0,-501.0,Down the Line,Backhand,,,,,,,,,,-48.0,418.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,,0,,
30-30,2-0,0-0,,618293,,,16,,5,Deuce,Motka Komac,Far,,,,,,,,,,-14.0,469.0,Crosscourt,Forehand,,,,,,,,,,96.0,-336.0,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,,
30-30,2-0,0-0,,619422,1.0,,16,,6,Deuce,Motka Komac,Far,,,,,,,,,,144.0,-549.0,Down the Line,Forehand,,,,,,,,,,178.0,293.0,,1.0,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Elise Wagle,,,,Motka Komac,1,,
30-40,2-0,0-0,1.0,620997,,,17,,1,Ad,Motka Komac,Far,1.0,T,-40.0,-221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elise Wagle,Motka Komac,right,right,,,,,Elise Wagle,Motka Komac,,,,,0,1st Serve In,T
