pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes
40-40,0-0,0-0,,635707,1,,,,2,Deuce,Player1,Near,,,,,,,,,,-170,496,Crosscourt,Backhand,,,,,,,,,,88,-490,,,,,1,,,,,,,,,,,,,,,
A-40,0-0,0-0,1,641051,,,,,1,Ad,Player1,Near,0,T,46,4,1,Body,99,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-40,0-0,0-0,,673082,,,,,2,Ad,Player1,Near,,,,,,,,,,139,493,Crosscourt,Forehand,,,,,,,,,,-77,-181,,,,,,,,,,,,,,,,,,,,
A-40,0-0,0-0,,674888,,,,,3,Ad,Player1,Near,,,,,,,,,,-138,-424,Down the Line,Backhand,,,,,,,,,,-96,336,,,,,,,,,,,,,,,,,,,,
A-40,0-0,0-0,,676150,,,,,4,Deuce,Player1,Near,,,,,,,,,,-104,528,Crosscourt,Backhand,,,,,,,,,,93,-336,,,,,,,,,,,,,,,,,,,,
A-40,0-0,0-0,,676907,1,,,,5,Deuce,Player1,Near,,,,,,,,,,152,-514,Down the Line,Forehand,,,,,,,,,,21,0,,,,1,,,,,,,,,,,,,,,,
40-40,0-0,0-0,1,678109,,,,,1,Deuce,Player1,Near,1,Body,-90,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,709036,,,,,2,Deuce,Player1,Near,,,,,,,,,,-154,472,Down the Line,Backhand,,,,,,,,,,-8,-362,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,710103,,,,,3,Ad,Player1,Near,,,,,,,,,,-29,-509,Down the Line,Forehand,,,,,,,,,,-56,344,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,712109,,,,,4,Deuce,Player1,Near,,,,,,,,,,-96,517,Crosscourt,Forehand,,,,,,,,,,67,-378,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,713012,,,,,5,Deuce,Player1,Near,,,,,,,,,,115,-552,Crosscourt,Forehand,,,,,,,,,,-51,365,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,714827,1,,,,6,Deuce,Player1,Near,,,,,,,,,,-117,506,Crosscourt,Forehand,,,,,,,,,,178,-445,,,1,,,,,,,,,,,,,,,,,
A-40,0-0,0-0,1,721102,,,,,1,Ad,Player1,Near,0,Body,94,1,1,Wide,120,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-40,0-0,0-0,,751011,,,,,2,Ad,Player1,Near,,,,,,,,,,174,504,Crosscourt,Forehand,,,,,,,,,,-147,-304,,,,,,,,,,,,,,,,,,,,
A-40,0-0,0-0,,751952,1,,,,3,Ad,Player1,Near,,,,,,,,,,-221,-490,Crosscourt,Backhand,,,,,,,,,,59,482,,,,,1,,,,,,,,,,,,,,,
40-40,0-0,0-0,1,756138,,,,,1,Deuce,Player1,Near,0,Body,-82,1,1,Body,-74,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-40,0-0,0-0,,793067,1,,,,2,Deuce,Player1,Near,,,,,,,,,,-117,522,Down the Line,Backhand,,,,,,,,,,-11,3,,,,1,,,,,,,,,,,,,,,,
A-40,0-0,0-0,1,825977,,,,,1,Ad,Player1,Near,1,T,40,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-40,0-0,0-0,,825986,,,,,2,Ad,Player1,Near,,,,,,,,,,83,496,Down the Line,Backhand,,,,,,,,,,85,-210,,,,,,,,,,,,,,,,,,,,
A-40,0-0,0-0,,827498,,,,,3,Deuce,Player1,Near,,,,,,,,,,72,-480,Crosscourt,Forehand,,,,,,,,,,-75,224,,,,,,,,,,,,,,,,,,,,
A-40,0-0,0-0,,828845,,,,,4,Deuce,Player1,Near,,,,,,,,,,-128,517,Crosscourt,Backhand,,,,,,,,,,83,-181,,,,,,,,,,,,,,,,,,,,
A-40,0-0,0-0,,830151,,,,,5,Deuce,Player1,Near,,,,,,,,,,152,-485,Down the Line,Forehand,,,,,,,,,,61,253,,,,,,,,,,,,,,,,,,,,
A-40,0-0,0-0,,831678,,,,,6,Deuce,Player1,Near,,,,,,,,,,-32,482,Down the Line,Forehand,,,,,,,,,,-77,-360,,,,,,,,,,,,,,,,,,,,
A-40,0-0,0-0,,832357,,,,,7,Ad,Player1,Near,,,,,,,,,,-106,-525,Crosscourt,Backhand,,,,,,,,,,51,370,,,,,,,,,,,,,,,,,,,,
A-40,0-0,0-0,,834191,,,,,8,Ad,Player1,Near,,,,,,,,,,38,490,Crosscourt,Forehand,,,,,,,,,,-117,-226,,,,,,,,,,,,,,,,,,,,
A-40,0-0,0-0,,835139,,,,,9,Ad,Player1,Near,,,,,,,,,,-247,-514,Down the Line,Backhand,,,,,,,,,,-48,397,,,,,,,,,,,,,,,,,,,,
A-40,0-0,0-0,,837331,,,,,10,Deuce,Player1,Near,,,,,,,,,,-85,496,Down the Line,Forehand,,,,,,,,,,-141,-139,,,,,,,,,,,,,,,,,,,,
